13:39:06 web.1  | started with pid 4375
13:39:12 web.1  | 957,-38.74697532,146.133935
13:39:12 web.1  | 966,-38.66650912,146.0236689
13:39:12 web.1  | 975,-38.49721231,145.1661898
13:39:12 web.1  | 980,-38.39380967,146.1656146
13:39:12 web.1  | 987,-38.69274588,146.1207318
13:39:12 web.1  | 994,-38.10280844,145.9240301
13:39:12 web.1  | 1001,-37.90613418,147.0768995
13:39:12 web.1  | 1019,-36.58781026,146.7731546
13:39:12 web.1  | 1026,-37.08574994,145.630394
13:39:12 web.1  | 959,-38.80772124,146.1985458
13:39:12 web.1  | 967,-38.66650912,146.0236689
13:39:12 web.1  | 976,-38.20183832,147.096743
13:39:12 web.1  | 981,-38.39380967,146.1656146
13:39:12 web.1  | 990,-38.32701931,146.2582763
13:39:12 web.1  | 995,-38.10280844,145.9240301
13:39:12 web.1  | 1015,-37.79237,145.02874
13:39:12 web.1  | 1020,-36.58781026,146.7731546
13:39:12 web.1  | 1029,-37.78465,145.07008
13:39:12 web.1  | 963,-38.81059994,146.0969161
13:39:12 web.1  | 974,-38.49721231,145.1661898
13:39:12 web.1  | 979,-38.27781976,146.4139314
13:39:12 web.1  | 986,-38.69274588,146.1207318
13:39:12 web.1  | 993,-38.0740317,145.8963808
13:39:12 web.1  | 1000,-37.90613418,147.0768995
13:39:12 web.1  | 1018,-36.73575964,147.1588627
13:39:12 web.1  | 1025,-37.08574994,145.630394
13:39:12 web.1  | 1035,-37.2214842,145.7370875
13:39:12 web.1  | 434,-37.91239,144.68286
13:39:12 web.1  | 455,-38.13201969,145.1358851
13:39:12 web.1  | 666,-36.7696345,145.1594302
13:39:12 web.1  | 878,-38.53720034,146.8474285
13:39:12 web.1  | 930,-37.69182923,148.8193094
13:39:12 web.1  | 935,-37.72245962,148.4762578
13:39:12 web.1  | 944,-38.50996919,146.7090816
13:39:12 web.1  | 949,-38.49548244,145.161949
13:39:12 web.1  | 954,-38.66985202,146.1941178
13:39:12 web.1  | 1036,-37.15101277,145.5901437
13:39:12 web.1  | 1041,-37.16396276,145.5480281
13:39:12 web.1  | 1051,-37.04493713,146.0440613
13:39:12 web.1  | 1056,-36.93063534,146.0003943
13:39:12 web.1  | 1061,-37.55219559,145.6591736
13:39:12 web.1  | 1068,-37.80385,145.16337
13:39:12 web.1  | 1075,-36.07102423,145.6962714
